Date,Opponent,Goals,Penalties,Penalties drawn,Faceoffs,Faceoffs won,"Faceoffs won, %",Hits,Faceoffs in DZ,Faceoffs won in DZ,"Faceoffs won in DZ, %",Faceoffs in NZ,Faceoffs won in NZ,"Faceoffs won in NZ, %",Faceoffs in OZ,Faceoffs won in OZ,"Faceoffs won in OZ, %",Blocked shots,Faceoffs lost,Scoring chances,CORSI%,Hits against,Power play,Successful power play,"Power play, %",Short-handed,Penalty killing,"Short-handed, %",xG per shot,Opponent's xG per shot,Net xG (xG - Opponent's xG),xG conversion,xG (Expected goals),Opponent's xG,xG per goal,Opponent's xG per goal,Shots,Shots on goal,Shots blocking,Missed shots,% shots on goal,Slapshot,Wrist shot,Power play shots,Short-handed shots,Shootouts scored,Puck battles,Puck battles won,"Puck battles won, %",Puck battles in OZ,Puck battles in NZ,Puck battles in DZ,Dekes,Dekes successful,Dekes unsuccessful,"Dekes successful, %",Passes total,Accurate passes,"Accurate passes, %",Pre-shots passes,Dump ins,Dump outs,Passes to the slot,OZ play,OZ play with shots,"OZ play with shots, %",Counterattacks,Counter-attack with shots,"Counter-attack with shots, %",Takeaways,Takeaways in NZ,Takeaways in DZ,Puck losses,Puck losses in OZ,Puck losses in NZ,Puck losses in DZ,Retrievals,Power play retrievals,Penalty kill retrievals,EV OZ retrievals,EV DZ retrievals,Takeaways in OZ,Loose puck recovery,Opponent’s dump-in retrievals,Entries,Entries via pass,Entries via dump in,Entries via stickhandling,Breakouts,Breakouts via pass,Breakouts via dump out,Breakouts via stickhandling,Type,Penalty time_minutes,Penalty time_seconds,Power play time_minutes,Power play time_seconds,Short-handed time_minutes,Short-handed time_seconds,Offensive play_minutes,Offensive play_seconds,Defensive play_minutes,Defensive play_seconds,OZ possession_minutes,OZ possession_seconds,NZ possession_minutes,NZ possession_seconds,DZ possession_minutes,DZ possession_seconds,isOpponent,isAway,OpponentScore,Outcome
2025-02-01,King's Monarchs,2,4,4,43,17,0.4,0,16,7,0.44,13,3,0.23,14,7,0.5,9,26,16,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.05,2.0,0.0,3.6,1.6,0.0,0.0,31,16,8,6,0.52,16,5,0.0,0.0,0,174,86,0.49,0,0,0,7,5,2,0.71,174,132,0.76,4,27,10,3,10,7,0.7000000000000001,6,1,0.17,85,0,0,75,38,20,20,17,17,17,8.0,9.0,0,23,8,35,10,1,24,42,28,0,14,Even Strength,8,0,0,0,0,0,20,13,17,47,7,12,4,14,8,47,False,True,3,Loss
2025-02-01,Hood,2,4,4,43,26,0.6,0,14,7,0.5,13,10,0.77,16,9,0.56,8,17,9,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.12,-2.0,0.0,1.6,3.6,0.0,0.0,31,18,9,5,0.58,17,6,0.0,0.0,0,174,88,0.51,0,0,0,3,1,2,0.33,155,118,0.76,7,16,6,6,9,6,0.67,4,1,0.25,91,0,0,67,34,20,20,13,13,13,6.0,7.0,0,32,18,31,8,2,21,25,17,0,8,Even Strength,8,0,0,0,0,0,17,47,20,13,7,55,3,47,6,6,True,False,2,Draw
2025-01-31,Lebanon Valley Flying Dutchmen,2,6,2,37,15,0.41000000000000003,1,17,4,0.24,15,9,0.6,5,2,0.4,10,22,7,0.38,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.06,-1.81,0.0,1.29,3.1,0.0,0.0,35,16,11,9,0.46,24,9,0.0,0.0,0,140,75,0.54,0,0,0,2,2,0,1.0,189,136,0.72,5,22,13,5,12,10,0.8300000000000001,4,4,1.0,90,0,0,70,34,24,24,23,23,23,8.0,15.0,0,28,8,32,5,6,21,32,17,1,14,Even Strength,12,0,0,0,0,0,18,3,21,48,6,18,3,40,8,5,False,False,6,Loss
2025-01-31,Hood,4,2,6,37,22,0.59,0,5,3,0.6,15,6,0.4,17,13,0.76,11,15,16,0.62,1,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.04,1.81,0.0,3.1,1.29,0.0,0.0,56,32,10,13,0.5700000000000001,34,16,0.0,0.0,0,140,65,0.46,0,0,0,6,5,1,0.8300000000000001,211,161,0.76,10,18,4,3,13,12,0.92,8,2,0.25,103,0,0,62,37,21,21,31,31,31,19.0,12.0,0,26,6,36,12,3,21,30,21,0,9,Even Strength,12,0,0,0,0,0,21,48,18,3,10,11,4,26,7,10,True,True,2,Win
2025-01-24,Neumann Knights,2,5,3,41,18,0.44,0,15,6,0.4,12,6,0.5,14,6,0.43,21,23,8,0.46,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.06,-1.35,0.0,1.81,3.2,0.0,0.0,45,17,17,7,0.38,13,24,0.0,0.0,0,175,96,0.55,0,0,0,14,6,8,0.43,218,163,0.75,3,22,14,2,18,16,0.89,4,4,1.0,94,0,0,64,30,25,25,23,23,23,10.0,13.0,0,34,11,29,4,3,22,42,25,0,17,Even Strength,10,0,0,0,0,0,23,35,21,21,9,22,5,20,8,53,False,False,4,Loss
2025-01-24,Hood,2,3,5,41,23,0.56,0,14,8,0.5700000000000001,12,6,0.5,15,9,0.6,17,18,17,0.54,0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.04,1.35,0.0,3.2,1.81,0.0,0.0,53,27,21,9,0.51,26,20,0.0,0.0,0,175,79,0.45,0,0,0,15,11,4,0.73,202,143,0.71,6,25,9,5,14,12,0.86,10,5,0.5,97,0,0,68,44,14,14,18,18,18,14.0,4.0,0,32,14,41,14,5,22,32,12,0,20,Even Strength,10,0,0,0,0,0,21,21,23,35,11,16,4,43,5,23,True,True,3,Loss
2025-01-23,Neumann Knights,1,4,2,37,19,0.51,0,9,2,0.22,9,7,0.78,19,10,0.53,22,18,16,0.65,0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.07,0.76,0.0,3.0,2.3,0.0,0.0,62,25,15,15,0.4,49,0,0.0,0.0,0,193,106,0.55,0,0,0,5,4,1,0.8,174,133,0.76,15,27,16,5,17,16,0.9400000000000001,2,1,0.5,83,0,0,54,24,21,21,30,30,30,21.0,9.0,0,44,8,31,7,6,18,30,20,2,8,Even Strength,8,0,0,0,0,0,22,21,17,40,12,59,3,9,6,13,False,False,0,Win
2025-01-23,Hood,0,2,4,37,18,0.49,0,19,9,0.47000000000000003,9,2,0.22,9,7,0.78,15,19,6,0.35000000000000003,0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.05,-0.76,0.0,2.3,3.0,0.0,0.0,34,17,22,2,0.5,30,0,0.0,0.0,0,193,87,0.45,0,0,0,7,4,3,0.5700000000000001,132,97,0.73,4,27,23,2,9,8,0.89,5,3,0.6,83,0,0,61,28,17,17,20,20,20,8.0,12.0,0,46,12,26,3,5,18,26,11,0,15,Even Strength,8,0,0,0,0,0,17,40,22,21,7,14,3,44,6,42,True,True,1,Loss
2025-01-18,Lebanon Valley Flying Dutchmen,1,4,3,37,13,0.35000000000000003,0,16,5,0.31,10,4,0.4,11,4,0.36,12,24,4,0.37,0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.08,-3.5,0.0,0.89,4.4,0.0,0.0,32,8,9,12,0.25,17,6,0.0,0.0,0,136,72,0.53,0,0,0,6,2,4,0.33,173,127,0.73,5,16,15,5,12,11,0.92,10,5,0.5,95,0,0,78,40,24,24,30,30,30,12.0,18.0,0,16,6,30,2,0,28,40,18,1,21,Even Strength,8,0,0,0,0,0,18,37,23,50,5,36,3,30,9,31,False,True,4,Loss
2025-01-18,Hood,1,3,4,37,24,0.65,0,11,7,0.64,10,6,0.6,16,11,0.6900000000000001,9,13,27,0.63,0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.03,3.5,0.0,4.4,0.89,0.0,0.0,54,33,12,12,0.61,35,8,0.0,0.0,0,136,64,0.47000000000000003,0,0,0,14,8,6,0.5700000000000001,253,203,0.8,11,12,1,5,21,15,0.71,11,8,0.73,103,0,0,75,44,20,20,25,25,25,19.0,6.0,0,28,10,50,26,2,22,40,26,0,14,Even Strength,8,0,0,0,0,0,23,50,18,37,12,49,4,15,6,46,True,False,1,Draw
